corp_name,corp_code,stock_code,liabilities_ratio,current_ratio,retention_rate,gross_profit_rate,net_profit_rate,ROE,sales_growth_rate,profit_change_rate,cashdivide,dividend,divide_count,VHF,updown,beta,financial_stability,profitability,volatility,growth,dividend_stability,final_label
홈센타홀딩스,288495,60560,66.1685666000454,10.9205108095771,81.3715351067532,34.0730997033658,15.518302957483,4.87535051368951,10.2558578893558,0.261549537768915,0.8,8.1,2,38.7096774193548,5.99,0.6,C,B,A,C,C,CBACC
우진,173944,105840,20.8825952840839,286.587651131872,1007.71281097939,42.9706370597494,16.4627383105925,7.09407620664045,7.00489485317703,-1.0,1.7,33.9,3,28.3333333333333,10.98,0.8,A,B,A,B,C,ABABC
인화정공,482426,101930,65.6719864530853,49.2216069795149,4166.39968350907,13.5945185262859,10.8343432588228,3.97476292229694,9.6035428824692,-0.427799350231295,19.1,817.6,1,37.6470588235294,-7.62,0.59,C,B,B,B,C,CBBBC
대동,109286,490,228.167513319069,102.942340874294,887.532262489353,15.437470047104402,0.87624449441747,2.93136138227091,5.24107167630316,-0.174627895897521,0.6,21.0,3,63.7592137592138,31.43,0.93,C,B,B,B,C,CBBBC
삼화콘덴서공업,129350,1820,24.6905967941034,296.389491800469,1895.10072073112,17.8229401676399,8.30954466217842,8.60229275082607,2.09984136949585,-0.110412819114778,1.3,24.7,3,18.0094786729858,27.0,0.56,A,B,A,B,C,ABABC
유니온,144252,910,59.4453806368424,98.1477004352674,1516.4751340524,15.067269984127,20.1029893059012,16.4960252313989,3.4005758312525005,0.400330803479221,2.32,24.7,3,32.967032967033,17.53,0.13,C,B,A,C,C,CBACC
우진플라임,303217,49800,202.970195844932,89.5028478037814,955.18364129,28.744942630825,2.85643712351896,5.7203648766017,-3.12962560195583,-0.353632729918177,1.63,16.57,3,32.3943661971831,-14.02,0.66,C,B,B,C,C,CBBCC
대성파인텍,442905,104040,50.7239703900221,109.392290021962,1462.02656766667,7.794904381768291,-6.99313712351376,-4.14306037949652,-3.6266920664736495,-1.0,1.63,16.57,0,26.25,-23.81,0.6,C,B,B,C,C,CBBCC
서연이화,1036446,200880,67.1926428351977,105.485433968527,5852.23401331716,17.0576577669841,9.71108654640698,17.6909407689638,13.8340438722092,0.765108482362286,1.12,3.4,3,67.2230652503794,144.02,2.61,C,B,B,C,C,CBBCC
대한방직,112970,1070,38.1907971764351,210.546181923621,2284.79722130189,10.848186042282,-3.08053649649219,-3.36272244047601,-10.3557871609152,-1.0,1.12,3.4,0,23.6842105263158,-84.16,0.61,A,B,B,C,C,ABBCC
갤럭시아에스엠,129554,11420,20.4636996243582,296.218093327816,281.419164175043,36.5906136685606,8.11600107452995,3.57771291260246,4.46949689723621,-0.101090520161895,1.12,3.4,0,57.2212065813528,55.0,0.47,C,B,B,B,C,CBBBC
러셀,1068348,217500,23.1822583942191,461.997645397435,1634.13946076952,19.1167820773102,9.27506769972063,6.36541808045394,-8.00105102324533,-0.179195192264753,0.9,32.97,3,37.6623376623377,18.75,1.45,A,B,B,C,C,ABBCC
특수건설,186939,26150,89.9718689806898,129.778481560907,1086.14955427434,6.911250280515071,-0.977534210899077,-2.19815671867731,0.48036195809806,-1.0,0.9,32.97,0,28.9940828402367,3.41,0.52,C,B,A,B,C,CBABC
세동,133663,53060,348.510510227064,97.6375495713441,-40.5153767490028,15.359268156922,4.89914201048903,35.7585938320455,7.906875769467001,1.46157114636279,0.9,32.97,0,21.8678815489749,33.74,0.65,C,B,A,C,C,CBACC
성광벤드,132318,14620,8.50730599777389,878.814537887797,3349.21005551748,30.2255499206309,16.0973844105119,7.52643849588667,24.4758878326533,-1.0,1.2,10.7,3,27.8846153846154,-8.23,0.22,A,B,B,C,C,ABBCC
대원전선,260392,6340,132.288918066094,153.809590499335,169.972386327927,4.58730225359516,1.89176635697188,9.52038726697088,3.06836680199014,0.946017857464785,1.2,10.7,0,33.6283185840708,5.18,0.8,B,B,A,C,C,BBACC
CBI,151605,13720,56.0267103981537,106.727735439748,2.31487145270214,32.3980241014552,-65.0957144561052,-32.6848441110185,1.55866306220626,-1.0,1.2,10.7,0,36.6101694915254,-50.86,1.63,C,B,B,B,C,CBBBC
휴니드테크놀러지스,111421,5870,85.2569271452672,171.262112524576,141.025110129169,17.744760977114097,7.8115182273969,11.0634817611501,0.16689412459292,0.111546632858054,1.2,10.7,0,32.8947368421053,1.65,-0.91,C,B,B,C,C,CBBCC
삼호개발,128980,10960,44.403592527885,221.164384030094,1747.269145048,5.41990942108774,2.68184687361274,4.3270251182684,4.40733086744857,-0.0791317607931788,5.42,28.11,3,51.4705882352941,-11.13,0.36,A,B,B,B,C,ABBBC
태림포장,153524,11280,108.633747320775,59.8924371189858,788.094282877962,12.1696938701384,0.456056813275597,1.0067692386194,0.99261028576942,-0.350410108995175,2.0,68.3,3,39.6825396825397,-15.88,0.31,C,B,B,B,C,CBBBC
지니언스,962223,263860,25.3230499822594,377.431028476117,1164.61802526311,59.481890024002006,14.8039546524267,12.3664488271495,10.2744243042359,0.0058818244737053,1.6,27.6,3,41.1371237458194,53.41,0.21,A,B,A,C,C,ABACC
신세계푸드,274933,31440,198.190670405674,80.2604398680677,1278.69066789241,15.7097557197621,0.823999344604629,4.1740445219644,3.66240870628091,0.692731766261882,1.9,27.7,3,47.787610619469,-17.9,0.73,C,B,B,C,C,CBBCC
